ID,Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Load_Applied,Date_of_Application,Date_of_Approval,Modified_Date,Status,Reviewer_ID,Reviewer_Name,Reviewer_Comments
306,Dishani Cheema,Male,Ahmedabad,Gujarat,706904,Joint,Passport,P9081945,Commercial,17,17-01-2025,24-01-2025,02-03-2025,Pending,6330,Hridaan Dada,Documents verification in progress
307,Anahi Kata,Female,Pune,Maharashtra,176750,Individual,Passport,P7368409,Residential,26,30-06-2024,13-07-2024,02-07-2024,Approved,3554,Biju Ramanathan,KYC failed
308,Indrans Zacharia,Male,Delhi,Delhi,773553,Individual,Passport,P1795615,Commercial,6,13-01-2024,13-03-2024,13-01-2024,Rejected,7442,Zara Balay,Documents verification in progress
309,Hiran Mammen,Female,Jaipur,Rajasthan,805941,Individual,Aadhar,1496983990,Commercial,34,28-01-2025,07-02-2025,26-03-2025,Pending,1617,Lavanya Gour,Installation completed
310,Samaira Kant,Female,Lucknow,Uttar Pradesh,577309,Individual,Passport,P5598073,Commercial,10,11-04-2024,29-04-2024,17-05-2024,Approved,4444,Neysa Hayre,KYC failed
311,Darshit Bhatnagar,Female,Bangalore,Karnataka,321895,Individual,PAN,XOXmg6282D,Residential,26,05-01-2025,13-01-2025,14-02-2025,Connection Released,1070,Lakshit Gupta,Documents verification in progress
312,Zain Yohannan,Female,Lucknow,Uttar Pradesh,156996,Joint,Voter_Id,VOT974218,Commercial,28,26-09-2024,25-10-2024,02-11-2024,Connection Released,3306,Mamooty Kothari,Documents verification in progress
313,Zara Sha,Male,Pune,Maharashtra,2664,Joint,Voter_Id,VOT364579,Commercial,46,25-09-2024,07-11-2024,12-12-2024,Rejected,2559,Gokul Dalal,KYC failed
314,Prerak Madan,Male,Ahmedabad,Gujarat,348077,Joint,PAN,pSxVo9329f,Residential,29,21-06-2025,25-06-2025,14-07-2025,Pending,1390,Kabir Vohra,Documents verification in progress
315,Aayush Bhandari,Male,Kolkata,West Bengal,294129,Joint,Passport,P8785256,Residential,32,17-12-2024,08-02-2025,14-02-2025,Rejected,7545,Suhana Bail,Installation pending
316,Dishani Andra,Female,Hyderabad,Telangana,245128,Joint,PAN,wtrtm0577h,Residential,5,06-06-2025,29-06-2025,23-06-2025,Pending,1775,Devansh Madan,Installation pending
317,Aarna Subramaniam,Male,Chennai,Tamil Nadu,372828,Individual,Aadhar,4.91E+11,Residential,45,16-03-2024,03-05-2024,14-06-2024,Approved,1944,Samarth Vora,Installation completed
318,Kismat Setty,Male,Pune,Maharashtra,296561,Individual,Aadhar,47271605150,Commercial,48,16-01-2024,15-03-2024,19-03-2024,Pending,5884,Jiya Tak,Documents verification in progress
319,Nitara Subramaniam,Female,Delhi,Delhi,778813,Individual,Passport,P6956032,Commercial,41,19-11-2024,26-12-2024,31-12-2024,Rejected,9653,Sumer Sastry,Installation completed
320,Ira Raman,Male,Lucknow,Uttar Pradesh,643465,Individual,Voter_Id,VOT781149,Residential,27,26-07-2024,31-08-2024,01-09-2024,Approved,8611,Akarsh Keer,Installation completed
321,Manikya Dugal,Female,Kolkata,West Bengal,531946,Individual,PAN,ziblL3799i,Commercial,42,11-04-2024,16-04-2024,02-05-2024,Rejected,2510,Jiya Bakshi,KYC failed
322,Heer Reddy,Male,Chennai,Tamil Nadu,776923,Joint,Aadhar,7.56E+11,Commercial,16,09-02-2024,05-03-2024,15-04-2024,Pending,1379,Anahita Bassi,Installation pending
323,Biju Subramaniam,Female,Lucknow,Uttar Pradesh,872274,Individual,PAN,vAesR9722v,Residential,26,03-10-2024,,23-12-2024,Approved,6826,Zain Karpe,KYC failed
324,Heer Tak,Male,Ahmedabad,Gujarat,465004,Individual,Passport,P3084921,Residential,5,26-09-2024,19-11-2024,21-11-2024,Approved,7465,Faiyaz Datta,Installation completed
325,Suhana Yogi,Male,Pune,Maharashtra,486667,Joint,Passport,P6339292,Commercial,28,24-07-2024,29-08-2024,26-08-2024,Pending,9919,Ranbir Buch,KYC failed
326,Jivin Biswas,Female,Chennai,Tamil Nadu,20334,Joint,PAN,zVsFs9575z,Commercial,41,27-02-2025,04-03-2025,28-02-2025,Pending,6279,Indranil Verma,Installation completed
327,Nirvi Manda,Male,Lucknow,Uttar Pradesh,405619,Individual,Voter_Id,VOT815790,Commercial,27,07-02-2024,,27-02-2024,Connection Released,6365,Oorja Babu,Installation pending
328,Mohanlal Buch,Male,Ahmedabad,Gujarat,967052,Joint,PAN,HWqXz9871N,Residential,39,30-03-2024,26-04-2024,03-04-2024,Rejected,8344,Shaan Mani,Installation completed
329,Neelofar Halder,Male,Kolkata,West Bengal,182926,Individual,Passport,P8943498,Commercial,48,03-03-2025,12-04-2025,24-03-2025,Rejected,9469,Dhanush Bhat,Installation pending
330,Vedika Sekhon,Female,Pune,Maharashtra,173735,Individual,Aadhar,3.21E+11,Commercial,40,24-09-2024,02-10-2024,27-10-2024,Approved,7653,Ayesha Wali,Installation completed
331,Farhan Ghosh,Female,Jaipur,Rajasthan,287377,Joint,PAN,OdYpX9713a,Commercial,32,29-05-2024,10-07-2024,26-07-2024,Rejected,1743,Shanaya Sarna,Installation completed
332,Jiya Srinivas,Male,Hyderabad,Telangana,739723,Joint,Passport,P2579130,Commercial,23,23-04-2025,11-06-2025,31-05-2025,Rejected,3024,Mishti Sahni,KYC failed
333,Rania Tak,Male,Mumbai,Maharashtra,240100,Joint,Aadhar,3.41E+11,Commercial,23,08-04-2024,04-05-2024,24-06-2024,Approved,1087,Gokul Comar,Documents verification in progress
334,Amira Dada,Female,Jaipur,Rajasthan,454966,Joint,Passport,P8740826,Commercial,42,20-03-2024,05-05-2024,09-06-2024,Pending,7947,Ryan Arya,Installation pending
335,Miraan Mammen,Female,Hyderabad,Telangana,5869,Joint,Passport,P5249845,Commercial,40,18-08-2024,22-09-2024,24-09-2024,Rejected,7695,Hridaan Dass,Installation completed
336,Adira Zacharia,Male,Chennai,Tamil Nadu,21209,Joint,PAN,YqqDL6219Z,Commercial,45,04-02-2025,23-03-2025,02-04-2025,Pending,2048,Mamooty Devi,Installation pending
337,Mehul Tella,Female,Bangalore,Karnataka,849891,Individual,PAN,qkihm4058R,Residential,15,06-08-2024,15-09-2024,24-10-2024,Pending,5757,Vedika Chanda,Installation completed
338,Aaina Mann,Male,Pune,Maharashtra,390056,Individual,Aadhar,5.18E+11,Commercial,21,20-08-2024,24-08-2024,05-10-2024,Connection Released,4190,Advika Jayaraman,Documents verification in progress
339,Aniruddh Khosla,Female,Mumbai,Maharashtra,985146,Individual,Passport,P6341280,Residential,47,20-02-2024,04-03-2024,25-04-2024,Pending,3975,Zeeshan Maharaj,KYC failed
340,Onkar Maharaj,Male,Bangalore,Karnataka,153544,Joint,Passport,P8835168,Residential,31,19-01-2024,,02-03-2024,Pending,5070,Ira Sethi,Installation pending
341,Damini Comar,Male,Pune,Maharashtra,836047,Individual,PAN,zRYrt7276z,Residential,22,21-07-2024,,02-10-2024,Connection Released,9319,Jhanvi Shere,Installation completed
342,Baiju Sharma,Male,Hyderabad,Telangana,372059,Joint,Passport,P7778137,Residential,8,30-10-2024,19-11-2024,12-01-2025,Connection Released,5557,Shlok Zachariah,KYC failed
343,Rohan Yadav,Male,Hyderabad,Telangana,715267,Joint,Aadhar,7.77E+11,Residential,41,15-04-2025,18-05-2025,20-04-2025,Rejected,8098,Kartik Amble,Installation completed
344,Aniruddh Kohli,Male,Ahmedabad,Gujarat,523820,Individual,Aadhar,2.16E+11,Residential,18,01-04-2025,21-04-2025,06-06-2025,Pending,1696,Advik Sunder,Documents verification in progress
345,Dhanuk Wason,Female,Chennai,Tamil Nadu,184900,Individual,Passport,P5398587,Commercial,48,20-06-2024,09-07-2024,02-09-2024,Connection Released,3897,Jivika Sathe,Documents verification in progress
346,Romil Vasa,Female,Kolkata,West Bengal,627833,Individual,Aadhar,2.34E+11,Residential,25,03-04-2024,06-05-2024,19-04-2024,Pending,1075,Jayesh Sethi,KYC failed
347,Parinaaz Dave,Female,Kolkata,West Bengal,526834,Joint,Aadhar,7.16E+11,Commercial,5,08-11-2024,08-12-2024,05-12-2024,Pending,3141,Ishaan Ramanathan,KYC failed
348,Hridaan Joshi,Female,Chennai,Tamil Nadu,337225,Joint,Voter_Id,VOT307216,Commercial,45,28-01-2024,12-03-2024,17-03-2024,Pending,2608,Vanya Khurana,Documents verification in progress
349,Zain Karnik,Male,Chennai,Tamil Nadu,611064,Individual,Passport,P1318562,Commercial,50,30-03-2024,23-04-2024,06-05-2024,Rejected,6722,Shanaya Basu,Installation pending
350,Elakshi Srinivas,Female,Bangalore,Karnataka,543567,Joint,PAN,COXZI0248r,Commercial,44,11-01-2025,28-02-2025,18-01-2025,Rejected,8752,Manikya Venkataraman,Installation pending
351,Onkar Guha,Female,Jaipur,Rajasthan,62254,Joint,Aadhar,6.95E+11,Residential,14,19-08-2024,,20-10-2024,Connection Released,9065,Indrans Sur,Documents verification in progress
352,Vidur Krishnamurthy,Male,Chennai,Tamil Nadu,30568,Joint,Aadhar,7.95E+11,Commercial,9,27-12-2024,07-02-2025,25-01-2025,Pending,5426,Vedika Sen,Installation pending
353,Anya Chaudhuri,Female,Ahmedabad,Gujarat,24398,Joint,Aadhar,7.85E+11,Commercial,49,21-04-2025,,18-06-2025,Pending,2854,Oorja Gola,Installation completed
354,Rati Barman,Male,Pune,Maharashtra,555173,Individual,Passport,P3646898,Commercial,43,16-01-2025,11-03-2025,26-01-2025,Pending,8605,Raunak Kakar,Installation completed
355,Anvi Bhasin,Female,Lucknow,Uttar Pradesh,912794,Joint,PAN,bgbOo3051Y,Residential,7,12-02-2025,16-02-2025,12-02-2025,Approved,8968,Sana Baral,Documents verification in progress
356,Tushar Thaman,Female,Chennai,Tamil Nadu,717032,Individual,PAN,PHqni7477k,Commercial,28,04-06-2025,03-08-2025,28-07-2025,Connection Released,3720,Advik Wadhwa,Installation completed
357,Kavya Khanna,Male,Jaipur,Rajasthan,726324,Joint,PAN,MKhpt5106A,Residential,15,26-04-2025,08-06-2025,09-05-2025,Approved,9939,Chirag Ray,KYC failed
358,Hunar Tandon,Male,Lucknow,Uttar Pradesh,91159,Individual,PAN,TyguT5272d,Residential,17,30-06-2024,28-07-2024,10-08-2024,Approved,8709,Oorja Batra,KYC failed
359,Aarush Saxena,Male,Mumbai,Maharashtra,982161,Joint,Aadhar,3.17E+11,Residential,37,10-02-2025,18-02-2025,10-02-2025,Approved,4083,Rania Krishnan,Documents verification in progress
360,Nakul Ray,Male,Hyderabad,Telangana,705821,Individual,Aadhar,8.81E+11,Residential,1,28-07-2024,16-08-2024,22-08-2024,Pending,5665,Divit Rajagopalan,Documents verification in progress
361,Anahita Kapur,Male,Ahmedabad,Gujarat,832873,Individual,PAN,dzwLd0897T,Commercial,49,27-05-2024,,28-06-2024,Approved,3565,Nitya Kapur,Documents verification in progress
362,Aayush Magar,Male,Kolkata,West Bengal,808784,Joint,Aadhar,9.16E+11,Commercial,25,23-05-2025,04-06-2025,05-07-2025,Connection Released,5370,Kimaya Andra,Documents verification in progress
363,Veer Dhaliwal,Male,Delhi,Delhi,280314,Joint,Aadhar,5.91E+11,Residential,25,14-06-2025,16-06-2025,26-08-2025,Approved,1120,Suhana Solanki,Installation completed
364,Yakshit Dugal,Female,Delhi,Delhi,253181,Joint,Passport,P5141337,Commercial,50,20-02-2025,10-04-2025,09-05-2025,Connection Released,2311,Dhanush Gaba,Documents verification in progress
365,Renee Vyas,Male,Delhi,Delhi,274771,Individual,Aadhar,68126150692,Commercial,5,10-04-2024,26-05-2024,01-05-2024,Approved,1112,Mishti Magar,Documents verification in progress
366,Nehmat Kaul,Male,Jaipur,Rajasthan,811448,Individual,PAN,KOjUt6617G,Residential,22,25-05-2025,07-07-2025,03-06-2025,Approved,7739,Ritvik Golla,KYC failed
367,Charvi Ray,Female,Pune,Maharashtra,944782,Joint,Passport,P8661426,Residential,28,20-09-2024,,12-12-2024,Connection Released,9839,Mamooty Khanna,Installation completed
368,Vihaan Raj,Female,Lucknow,Uttar Pradesh,99007,Individual,Passport,P7181101,Commercial,35,09-05-2024,29-05-2024,24-07-2024,Approved,4109,Vedika Khatri,Documents verification in progress
369,Neelofar Hora,Male,Bangalore,Karnataka,526165,Individual,PAN,wGtqN1110K,Commercial,11,03-05-2024,29-06-2024,21-06-2024,Connection Released,8006,Divij Khurana,KYC failed
370,Taimur Mannan,Female,Ahmedabad,Gujarat,956528,Joint,Voter_Id,VOT812034,Commercial,9,26-04-2024,21-05-2024,30-04-2024,Pending,1099,Tarini Deep,Documents verification in progress
371,Eva Gola,Male,Delhi,Delhi,33814,Joint,Aadhar,9.13E+11,Commercial,22,08-06-2025,26-06-2025,06-09-2025,Rejected,4805,Ivana Dewan,Installation pending
372,Kashvi Basak,Female,Chennai,Tamil Nadu,176425,Individual,Passport,P2075330,Residential,19,21-04-2024,,25-06-2024,Rejected,3821,Khushi Sastry,Installation completed
373,Amira Sandal,Male,Bangalore,Karnataka,57132,Joint,PAN,LMZzK1127Z,Commercial,35,09-01-2024,06-02-2024,06-04-2024,Pending,6817,Shamik Jani,Installation completed
374,Purab Buch,Male,Hyderabad,Telangana,177578,Joint,Voter_Id,VOT445489,Residential,37,15-06-2025,25-06-2025,08-09-2025,Approved,2225,Gatik Choudhary,Installation completed
375,Hazel Keer,Male,Mumbai,Maharashtra,932618,Joint,PAN,pHrMf7452W,Commercial,39,03-02-2024,25-03-2024,03-05-2024,Approved,6013,Shaan Bakshi,Installation completed
376,Raghav Bala,Male,Pune,Maharashtra,850195,Joint,Passport,P3900987,Residential,9,04-01-2024,20-02-2024,06-01-2024,Pending,1983,Veer Batra,Installation pending
377,Kanav Soman,Male,Ahmedabad,Gujarat,955747,Joint,Aadhar,4.22E+11,Commercial,50,17-07-2024,19-08-2024,05-10-2024,Approved,9513,Anay Deo,Installation completed
378,Anvi Bajwa,Male,Chennai,Tamil Nadu,763126,Joint,Passport,P1839947,Residential,17,16-10-2024,01-12-2024,22-11-2024,Connection Released,3520,Tara Ramanathan,Documents verification in progress
379,Aarav Wagle,Male,Bangalore,Karnataka,977411,Individual,Passport,P1908879,Residential,27,03-03-2025,23-03-2025,19-04-2025,Approved,9906,Advika Bhatnagar,Installation pending
380,Shanaya Buch,Female,Pune,Maharashtra,979480,Joint,Aadhar,5.40E+11,Commercial,42,14-02-2024,16-02-2024,08-04-2024,Rejected,1307,Pranay Bora,KYC failed
381,Shalv Khurana,Female,Chennai,Tamil Nadu,952080,Joint,Aadhar,84340163022,Residential,43,27-04-2024,15-06-2024,29-06-2024,Approved,9623,Anika Bobal,Documents verification in progress
382,Charvi Baria,Female,Jaipur,Rajasthan,936516,Joint,Voter_Id,VOT980872,Residential,33,14-01-2024,06-03-2024,17-01-2024,Pending,7676,Zeeshan Raja,KYC failed
383,Tara Upadhyay,Male,Chennai,Tamil Nadu,282336,Individual,Voter_Id,VOT547209,Commercial,3,03-05-2025,01-07-2025,01-06-2025,Pending,7441,Jivin Mannan,Installation completed
384,Lakshit Rattan,Female,Ahmedabad,Gujarat,681476,Individual,Passport,P7280354,Residential,25,21-01-2024,11-02-2024,04-04-2024,Pending,6682,Kavya Chander,KYC failed
385,Neelofar Kurian,Male,Jaipur,Rajasthan,302341,Joint,PAN,xYSok3448Q,Commercial,43,01-04-2025,27-04-2025,06-06-2025,Connection Released,8537,Ivana Bhargava,Installation completed
386,Aarush Dutta,Female,Lucknow,Uttar Pradesh,759540,Joint,Aadhar,5.25E+11,Residential,12,29-01-2024,07-02-2024,03-02-2024,Connection Released,3969,Urvi Gokhale,Installation pending
387,Eshani Som,Female,Mumbai,Maharashtra,567951,Individual,Aadhar,3.37E+11,Residential,4,02-09-2024,10-10-2024,27-10-2024,Connection Released,8375,Darshit Rama,KYC failed
388,Alia Konda,Female,Bangalore,Karnataka,532423,Individual,PAN,AWvOB8087u,Residential,37,21-04-2024,,12-05-2024,Connection Released,3581,Kismat Grewal,KYC failed
389,Khushi Gade,Male,Ahmedabad,Gujarat,515682,Joint,PAN,sdrhI4533Q,Commercial,3,24-02-2025,10-04-2025,19-04-2025,Connection Released,9340,Kashvi Dutta,Installation pending
390,Amira Goel,Female,Chennai,Tamil Nadu,887246,Joint,Aadhar,1.33E+11,Residential,41,19-10-2024,29-11-2024,05-12-2024,Pending,6039,Himmat Balan,KYC failed
391,Raunak Saran,Female,Chennai,Tamil Nadu,673705,Individual,Passport,P4961548,Commercial,48,05-03-2025,07-03-2025,10-03-2025,Rejected,4632,Akarsh Gara,Installation completed
392,Jivin Suri,Male,Ahmedabad,Gujarat,207076,Joint,Voter_Id,VOT875341,Commercial,48,20-03-2025,28-03-2025,15-06-2025,Pending,8765,Ryan Grover,Documents verification in progress
393,Tushar Kalita,Female,Lucknow,Uttar Pradesh,71333,Joint,Aadhar,2.97E+11,Commercial,28,11-06-2024,,29-07-2024,Approved,1620,Rania Batra,KYC failed
394,Hazel Ganguly,Female,Jaipur,Rajasthan,630008,Individual,Passport,P9777969,Commercial,40,19-12-2024,17-02-2025,07-02-2025,Rejected,5449,Miraan Deo,Installation completed
395,Samarth Soman,Female,Delhi,Delhi,71918,Individual,Voter_Id,VOT356828,Residential,5,13-07-2024,20-08-2024,04-10-2024,Rejected,7493,Aaina Loke,Documents verification in progress
396,Stuvan Chhabra,Female,Delhi,Delhi,222510,Individual,Aadhar,1.84E+11,Commercial,4,13-03-2025,25-03-2025,13-05-2025,Connection Released,5637,Uthkarsh Hora,Installation completed
397,Manikya Dua,Female,Lucknow,Uttar Pradesh,469992,Individual,Aadhar,5.35E+11,Commercial,11,07-07-2024,16-07-2024,30-08-2024,Approved,9874,Vanya Bawa,Installation completed
398,Seher Sahota,Female,Lucknow,Uttar Pradesh,243195,Joint,PAN,DzCIh9978K,Commercial,48,19-06-2024,05-08-2024,23-08-2024,Rejected,4851,Mannat Som,KYC failed
399,Zeeshan Bains,Female,Delhi,Delhi,828223,Joint,Aadhar,9.52E+11,Residential,27,07-09-2024,,04-10-2024,Connection Released,1644,Vivaan Dash,Installation completed
400,Alia Varty,Female,Jaipur,Rajasthan,289521,Individual,Passport,P5608201,Commercial,46,27-02-2024,20-04-2024,13-04-2024,Connection Released,5596,Lavanya Sehgal,Installation completed
401,Anahita Bhatt,Female,Mumbai,Maharashtra,702192,Joint,Aadhar,8.09E+11,Commercial,16,08-03-2024,07-04-2024,22-05-2024,Rejected,6946,Priyansh Ray,Installation pending
402,Neysa Sen,Male,Delhi,Delhi,93946,Joint,Voter_Id,VOT613479,Residential,20,20-02-2025,02-03-2025,17-05-2025,Rejected,1555,Eshani Banerjee,Documents verification in progress
403,Aaryahi Chad,Male,Hyderabad,Telangana,283316,Joint,Voter_Id,VOT418625,Commercial,44,15-11-2024,26-11-2024,31-01-2025,Pending,7868,Aaryahi Sodhi,Installation pending
404,Eva Bora,Male,Hyderabad,Telangana,526773,Individual,Aadhar,5.00E+11,Residential,39,24-04-2025,,30-05-2025,Approved,3814,Vivaan Anand,Installation completed
405,Jivin Raval,Male,Ahmedabad,Gujarat,721495,Joint,PAN,PIamU3785N,Commercial,41,10-06-2024,04-07-2024,31-08-2024,Connection Released,3576,Elakshi Dubey,Documents verification in progress
406,Eva Dara,Female,Pune,Maharashtra,155665,Joint,Passport,P1215461,Residential,15,02-02-2024,03-02-2024,14-03-2024,Approved,1533,Arhaan Venkataraman,Documents verification in progress
407,Kartik Gaba,Female,Lucknow,Uttar Pradesh,864295,Individual,Passport,P6366548,Residential,38,09-05-2024,,14-05-2024,Connection Released,2651,Gatik Halder,Installation completed
408,Vritika Sampath,Female,Bangalore,Karnataka,227256,Joint,Aadhar,7.25E+11,Residential,4,04-08-2024,17-09-2024,25-08-2024,Connection Released,7669,Ryan Sethi,Installation completed
409,Uthkarsh Lanka,Female,Kolkata,West Bengal,104724,Joint,PAN,YmabJ4563N,Commercial,4,21-04-2025,19-06-2025,07-05-2025,Pending,7067,Riya Ganguly,KYC failed
410,Romil Tailor,Female,Mumbai,Maharashtra,56409,Joint,Aadhar,8.59E+11,Residential,18,27-01-2025,09-02-2025,11-03-2025,Connection Released,2377,Jiya Saha,Installation completed
411,Ishaan Zacharia,Male,Kolkata,West Bengal,919417,Joint,Voter_Id,VOT913055,Residential,8,04-07-2024,24-07-2024,31-07-2024,Approved,1704,Faiyaz Krishnan,KYC failed
412,Fateh Chandran,Female,Hyderabad,Telangana,976164,Individual,PAN,EGsyk7014B,Commercial,6,15-11-2024,28-12-2024,19-01-2025,Rejected,5930,Tarini Thakkar,Installation completed
413,Yuvraj  Banik,Male,Bangalore,Karnataka,136877,Individual,PAN,uPdSH4679E,Commercial,10,11-09-2024,06-10-2024,30-09-2024,Rejected,9649,Kanav Thakkar,KYC failed
414,Divij Bath,Female,Lucknow,Uttar Pradesh,502487,Joint,Aadhar,9.99E+11,Residential,17,28-09-2024,23-11-2024,01-12-2024,Pending,2052,Tushar Sinha,Installation pending
415,Nirvaan Dash,Female,Mumbai,Maharashtra,251583,Individual,Voter_Id,VOT323341,Residential,3,09-07-2024,11-07-2024,22-08-2024,Approved,9433,Jayesh Raj,Installation completed
416,Aradhya Deshmukh,Female,Jaipur,Rajasthan,813405,Individual,Aadhar,3.01E+11,Residential,16,16-03-2025,01-05-2025,16-05-2025,Pending,6447,Myra Sem,Documents verification in progress
417,Piya Sengupta,Female,Jaipur,Rajasthan,836112,Individual,PAN,jSail7968H,Residential,5,22-03-2024,,07-06-2024,Pending,3813,Umang Chad,KYC failed
418,Ayesha Sen,Female,Kolkata,West Bengal,390713,Joint,Aadhar,9.61E+11,Commercial,2,30-01-2024,11-03-2024,15-02-2024,Pending,5339,Gatik Thakkar,Documents verification in progress
419,Advik Doshi,Female,Jaipur,Rajasthan,531240,Joint,Aadhar,7.26E+11,Residential,39,05-01-2025,27-01-2025,28-02-2025,Approved,3224,Aarna Upadhyay,KYC failed
420,Navya Sidhu,Male,Hyderabad,Telangana,833233,Individual,Aadhar,1.37E+11,Residential,1,20-05-2024,23-05-2024,29-06-2024,Rejected,8787,Samiha Mannan,Installation pending
421,Samaira Ratti,Female,Bangalore,Karnataka,566924,Individual,Aadhar,9.76E+11,Commercial,44,29-07-2024,13-08-2024,08-09-2024,Rejected,2164,Ahana  Kale,Installation pending
422,Neysa Mahajan,Female,Chennai,Tamil Nadu,371646,Joint,Voter_Id,VOT254792,Residential,3,28-05-2024,13-06-2024,19-07-2024,Connection Released,4134,Tiya Sandal,KYC failed
423,Shamik Chawla,Male,Mumbai,Maharashtra,218259,Individual,Aadhar,3.42E+11,Residential,43,22-05-2024,24-06-2024,03-07-2024,Approved,9175,Urvi Bawa,Documents verification in progress
424,Anika Vyas,Male,Jaipur,Rajasthan,350921,Individual,Aadhar,5.82E+11,Residential,4,15-04-2024,04-05-2024,16-06-2024,Connection Released,2385,Sana Barman,Installation completed
425,Samarth Kumar,Female,Mumbai,Maharashtra,483069,Joint,PAN,lEFVu4482x,Residential,23,29-01-2025,10-02-2025,10-03-2025,Approved,2215,Rati Thakkar,Installation pending
426,Bhavin Dar,Male,Kolkata,West Bengal,221148,Joint,PAN,vLdlg2898i,Commercial,3,29-07-2024,16-09-2024,11-08-2024,Pending,1923,Arnav Krish,KYC failed
427,Chirag Dugar,Female,Hyderabad,Telangana,862035,Joint,PAN,djicq3812Q,Residential,13,05-11-2024,,06-12-2024,Connection Released,5998,Shayak Sen,Installation pending
428,Jivika Jain,Male,Kolkata,West Bengal,870997,Individual,Voter_Id,VOT160327,Residential,48,19-04-2025,17-05-2025,02-07-2025,Approved,6977,Amira Sengupta,Installation pending
429,Zaina Dora,Female,Bangalore,Karnataka,545009,Joint,PAN,HQDxy8457D,Commercial,34,14-02-2024,04-03-2024,05-05-2024,Rejected,1829,Mahika Walla,Installation pending
430,Zeeshan Chanda,Male,Lucknow,Uttar Pradesh,232363,Joint,Aadhar,2.88E+11,Residential,35,14-02-2024,03-03-2024,02-04-2024,Rejected,8354,Himmat Goyal,Installation pending
431,Raghav Gade,Female,Hyderabad,Telangana,932241,Joint,PAN,BQIDk4773W,Residential,29,01-05-2025,29-06-2025,11-05-2025,Rejected,3932,Ela Bajwa,Installation completed
432,Vaibhav Thakkar,Female,Hyderabad,Telangana,242760,Joint,Voter_Id,VOT752015,Residential,16,24-07-2024,05-08-2024,03-10-2024,Pending,1292,Baiju Rana,Installation completed
433,Zoya Dyal,Male,Jaipur,Rajasthan,620353,Joint,Voter_Id,VOT589139,Commercial,39,20-05-2024,07-07-2024,06-07-2024,Approved,9680,Riaan Trivedi,Installation completed
434,Sara Mall,Female,Bangalore,Karnataka,2476,Individual,PAN,SGohO3071u,Residential,25,18-09-2024,26-09-2024,12-10-2024,Rejected,2871,Devansh Chaudhuri,Installation pending
435,Kabir Barad,Male,Bangalore,Karnataka,696703,Individual,PAN,TqhDl5319X,Commercial,46,24-04-2025,21-05-2025,02-07-2025,Approved,1049,Baiju Upadhyay,KYC failed
436,Hridaan Sarin,Female,Lucknow,Uttar Pradesh,210256,Individual,Passport,P8711590,Residential,29,20-08-2024,26-08-2024,05-11-2024,Rejected,2536,Lavanya Date,Documents verification in progress
437,Divyansh Din,Female,Chennai,Tamil Nadu,90352,Joint,PAN,TExpU1355d,Commercial,24,10-06-2025,29-07-2025,21-06-2025,Pending,9810,Lavanya Guha,Installation completed
438,Piya Bhat,Female,Jaipur,Rajasthan,196317,Individual,Aadhar,7.50E+11,Commercial,17,18-03-2024,26-04-2024,05-04-2024,Rejected,4086,Miraan Vyas,KYC failed
439,Rohan Bhattacharyya,Female,Ahmedabad,Gujarat,538039,Joint,Voter_Id,VOT932134,Commercial,24,03-11-2024,24-12-2024,02-01-2025,Connection Released,8926,Eva Rattan,Documents verification in progress
440,Biju Thaman,Male,Ahmedabad,Gujarat,546529,Joint,Voter_Id,VOT259426,Residential,44,18-09-2024,13-10-2024,13-10-2024,Pending,8802,Taimur Golla,Documents verification in progress
441,Seher Balakrishnan,Female,Delhi,Delhi,873715,Individual,Voter_Id,VOT156756,Residential,45,31-08-2024,23-10-2024,24-09-2024,Connection Released,6323,Jivika Handa,Documents verification in progress
442,Neysa Madan,Female,Hyderabad,Telangana,626095,Individual,Aadhar,9.34E+11,Residential,9,28-05-2025,20-07-2025,08-08-2025,Approved,4059,Stuvan Mannan,Installation pending
443,Zara Chokshi,Female,Kolkata,West Bengal,898740,Joint,Aadhar,8.45E+11,Residential,34,27-10-2024,15-12-2024,12-11-2024,Connection Released,6730,Divyansh Sengupta,Installation completed
444,Hrishita Mandal,Male,Chennai,Tamil Nadu,153193,Joint,Voter_Id,VOT409877,Residential,45,12-05-2024,26-06-2024,27-06-2024,Approved,4140,Mohanlal Kapadia,KYC failed
445,Dishani Loke,Female,Bangalore,Karnataka,895050,Individual,Aadhar,7.97E+11,Residential,2,23-10-2024,07-12-2024,07-11-2024,Approved,9708,Lagan Andra,Installation completed
446,Rati Gopal,Female,Jaipur,Rajasthan,854948,Joint,Voter_Id,VOT618157,Commercial,39,13-11-2024,18-12-2024,06-01-2025,Rejected,2136,Keya Raman,Installation completed
447,Anahi Sinha,Male,Pune,Maharashtra,28569,Joint,Voter_Id,VOT992673,Residential,5,17-04-2025,23-04-2025,20-05-2025,Pending,1209,Priyansh Chacko,KYC failed
448,Bhamini Yogi,Female,Mumbai,Maharashtra,541622,Individual,Voter_Id,VOT545516,Residential,32,15-12-2024,22-12-2024,01-02-2025,Rejected,5541,Ranbir Sengupta,KYC failed
449,Jhanvi Bhatia,Female,Hyderabad,Telangana,752621,Joint,Passport,P9030562,Residential,44,15-06-2024,21-07-2024,23-08-2024,Approved,8603,Jiya Kale,Installation pending
